"","?=S108_373","Platycheirus_albimanus_204","Sirfido_negro_546","Sphaerophoria_scripta_103","Sphaerophoria_scripta_200","Sphaerophoria_scripta_201","Sphaerophoria_scripta_521","Sphaerophoria_scripta_522","Sphaerophoria_scripta_524","Sphaerophoria_scripta_525","Sphaerophoria_scripta_526","Sphaerophoria_scripta_527","Sphaerophoria_scripta_528","Sphaerophoria_scripta_529","Sphaerophoria_scripta_532","Sphaerophoria_scripta_535","Sphaerophoria_scripta_536","Sphaerophoria_scripta_541"
"1-6 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"10-5 Euphrasia_alpina",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"12-3 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12-4 Euphrasia_alpina",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-6 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16-1 Euphrasia_alpina",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-1 Euphrasia_alpina",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-6 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"3-14 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"3-3 Euphrasia_alpina",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"4-3 Euphrasia_alpina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5-1 Euphrasia_alpina",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-11 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5-5 Euphrasia_alpina",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"5-6 Euphrasia_alpina",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"6-16 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7-4 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8-12 Euphrasia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
