"","?=C19_217","?=C19_218","?=C22_216","C19_206","C19_208","C22_212","Empis_sp_201","Empis_sp_214","Lucilia_silvarum_211","Orthoptera_225"
"12-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,3
"2-18 Hutchinsia_alpina",0,0,0,0,0,0,0,0,10,0
"3-22 Hutchinsia_alpina",0,3,0,0,0,0,0,0,0,0
"3-23 Hutchinsia_alpina",0,0,0,0,0,0,3,0,0,0
"4-21 Hutchinsia_alpina",0,2,0,0,0,0,0,0,0,0
"4-22 Hutchinsia_alpina",0,14,0,2,0,0,0,5,0,0
"5-22 Hutchinsia_alpina",0,0,0,0,0,6,0,0,0,0
"6-21 Hutchinsia_alpina",0,0,0,0,4,0,0,0,0,0
"7-21 Hutchinsia_alpina",10,0,0,0,0,0,0,0,0,0
"8-21 Hutchinsia_alpina",1,0,7,0,0,0,0,0,0,0
"8-22 Hutchinsia_alpina",2,0,0,0,0,0,0,0,0,0
